user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
viichan,9,2021,9,27,1,9/27/2021,https://sullygnome.com/channel/viichan6/stream/43856282221,324,504144,1556,2090,191,34,9649,1754,Just Chatting,,0
viichan,9,2021,9,26,7,9/26/2021,https://sullygnome.com/channel/viichan6/stream/43843276077,393,474744,1208,2150,310,45,13146,1947,Just Chatting,,0
viichan,9,2021,9,25,6,9/25/2021,https://sullygnome.com/channel/viichan6/stream/43829109389,284,516028,1817,2330,232,48,9312,1960,Just Chatting,,0
viichan,9,2021,9,24,5,9/24/2021,https://sullygnome.com/channel/viichan6/stream/43815695341,432,683856,1583,2090,377,52,13294,1833,Just Chatting,,0
viichan,9,2021,9,22,3,9/22/2021,https://sullygnome.com/channel/viichan6/stream/43790732397,411,669930,1630,2514,493,70,15249,2178,Just Chatting,,0
viichan,9,2021,9,21,2,9/21/2021,https://sullygnome.com/channel/viichan6/stream/43778482237,381,564261,1481,1962,411,63,12618,1941,Just Chatting,,0
viichan,9,2021,9,20,1,9/20/2021,https://sullygnome.com/channel/viichan6/stream/43766228477,444,666888,1502,2097,433,57,12563,1675,Just Chatting,,0
viichan,9,2021,9,19,7,9/19/2021,https://sullygnome.com/channel/viichan6/stream/43752818013,415,572700,1380,1728,355,50,12720,1817,Just Chatting,,0
viichan,9,2021,9,18,6,9/18/2021,https://sullygnome.com/channel/viichan6/stream/43740769917,190,278350,1465,1905,269,82,9432,2902,Just Chatting,,0
viichan,9,2021,9,17,5,9/17/2021,https://sullygnome.com/channel/viichan6/stream/43724605741,364,499772,1373,1852,277,44,10343,1654,Just Chatting,,0
viichan,9,2021,9,15,3,9/15/2021,https://sullygnome.com/channel/viichan6/stream/43699832029,395,357080,904,1345,265,39,8999,1333,Just Chatting,,0
viichan,9,2021,9,14,2,9/14/2021,https://sullygnome.com/channel/viichan6/stream/43687466957,286,289146,1011,1287,214,45,7233,1522,Just Chatting,,0
viichan,9,2021,9,13,1,9/13/2021,https://sullygnome.com/channel/viichan6/stream/43674835005,352,362208,1029,1597,309,51,7288,1214,Just Chatting,,0
viichan,9,2021,9,12,7,9/12/2021,https://sullygnome.com/channel/viichan6/stream/43660213757,493,426445,865,1456,327,39,11005,1333,Just Chatting,,0
viichan,9,2021,9,11,6,9/11/2021,https://sullygnome.com/channel/viichan6/stream/43646693597,248,181536,732,1011,80,18,4764,1120,Just Chatting,,0
viichan,9,2021,9,10,5,9/10/2021,https://sullygnome.com/channel/viichan6/stream/43631587965,519,315552,608,885,217,24,7295,833,Just Chatting,,0
viichan,9,2021,9,8,3,9/8/2021,https://sullygnome.com/channel/viichan6/stream/43605833117,227,155495,685,888,63,15,4141,1035,Just Chatting,,0
viichan,9,2021,9,7,2,9/7/2021,https://sullygnome.com/channel/viichan6/stream/43591882509,404,212100,525,833,105,15,5813,861,Just Chatting,,0
viichan,9,2021,9,6,1,9/6/2021,https://sullygnome.com/channel/viichan6/stream/43578149229,516,457692,887,1391,260,29,10238,1170,Just Chatting,,0
viichan,9,2021,9,5,7,9/5/2021,https://sullygnome.com/channel/viichan6/stream/43565658621,538,485276,902,1967,979,108,35112,3901,Just Chatting,1,0
viichan,9,2021,9,4,6,9/4/2021,https://sullygnome.com/channel/viichan6/stream/43550136157,360,246600,685,877,125,20,6163,1027,Just Chatting,,0
viichan,9,2021,9,3,5,9/3/2021,https://sullygnome.com/channel/viichan6/stream/43536216557,869,363242,418,702,335,23,10017,690,Just Chatting,,0
viichan,9,2021,9,1,3,9/1/2021,https://sullygnome.com/channel/viichan6/stream/43510287149,326,189406,581,813,118,21,3694,671,Just Chatting,,0
jingburger,15,2022,3,14,1,3/14/2022,https://sullygnome.com/channel/jingburger/stream/45842886285,541,3118865,5765,10102,1115,120,107215,11590,VRChat,,0
jingburger,15,2022,3,11,5,3/11/2022,https://sullygnome.com/channel/jingburger/stream/45807546461,254,712470,2805,4232,803,178,54244,12054,Just Chatting,,1
jingburger,15,2022,3,10,4,3/10/2022,https://sullygnome.com/channel/jingburger/stream/45798509293,505,1860925,3685,6267,529,60,53073,6065,Just Chatting,,0
jingburger,15,2022,3,10,4,3/10/2022,https://sullygnome.com/channel/jingburger/stream/45797527309,44,60368,1372,2127,204,204,5726,5726,Just Chatting,,0
jingburger,15,2022,3,7,1,3/7/2022,https://sullygnome.com/channel/jingburger/stream/45766436029,641,4211370,6570,13273,806,73,66018,6001,Just Chatting,,0
jingburger,15,2022,3,5,6,3/5/2022,https://sullygnome.com/channel/jingburger/stream/45740970157,641,3514603,5483,10587,1039,94,97282,8843,Just Chatting,,0
jingburger,15,2022,3,3,4,3/3/2022,https://sullygnome.com/channel/jingburger/stream/45719228125,641,3242819,5059,9146,742,67,72661,6605,Just Chatting,,0
jingburger,15,2022,3,1,2,3/1/2022,https://sullygnome.com/channel/jingburger/stream/45698213277,896,3283840,3665,6859,1144,75,79675,5224,Just Chatting,,0
jingburger,14,2022,2,28,1,2/28/2022,https://sullygnome.com/channel/jingburger/stream/45686555533,274,2055822,7503,9936,522,104,34349,6869,Just Chatting,,0
jingburger,14,2022,2,25,5,2/25/2022,https://sullygnome.com/channel/jingburger/stream/45651450637,552,2132376,3863,10394,833,87,71178,7492,Just Chatting,,0
jingburger,14,2022,2,23,3,2/23/2022,https://sullygnome.com/channel/jingburger/stream/45627973277,359,1119003,3117,4844,552,88,47161,7545,Just Chatting,,0
jingburger,14,2022,2,20,7,2/20/2022,https://sullygnome.com/channel/jingburger/stream/45593987565,578,1610886,2787,5530,653,65,52647,5264,Just Chatting,,0
jingburger,14,2022,2,19,6,2/19/2022,https://sullygnome.com/channel/jingburger/stream/45580167597,275,1823525,6631,8661,430,90,35428,7458,Just Chatting,,0
jingburger,14,2022,2,16,3,2/16/2022,https://sullygnome.com/channel/jingburger/stream/45542697853,897,5455554,6082,9462,1140,74,100015,6558,Just Chatting,,0
jingburger,14,2022,2,13,7,2/13/2022,https://sullygnome.com/channel/jingburger/stream/45511977869,354,821634,2321,4758,568,90,56878,9100,Just Chatting,1,0
jingburger,14,2022,2,11,5,2/11/2022,https://sullygnome.com/channel/jingburger/stream/45485868317,658,2214170,3365,6121,490,43,63031,5602,Just Chatting,,0
jingburger,14,2022,2,10,4,2/10/2022,https://sullygnome.com/channel/jingburger/stream/45474600525,726,3800610,5235,7719,578,47,70147,5726,Just Chatting,,0
